Plain Bob Minimus|-14-14,12
Double Bob Minimus|-14-34,12
Reverse Bob Minimus|-14-34,14
Reverse Court Place Minimus|-14.12.14,14
Reverse St Nicholas Bob Minimus|-14.12.34,12
Canterbury Place Minimus|-14.12.34,14
Reverse Canterbury Place Minimus|34.14-14,12
Single Court Place Minimus|34.14-14,14
St Nicholas Bob Minimus|34.14-34,12
Double Court Place Minimus|34.14.12.14,14
Double Canterbury Place Minimus|34.14.12.34,12
Cheeky Little Place Minimus|14.12
Itram Little Place Minimus|14.34
Bastow Little Bob Minimus|-12,14
St Aelhaiarn Little Place Minimus|34.12,14
Llanarthne Little Bob Minimus|-14-34
Double Trouble Little Place Minimus|12.14.34.14
Barton Little Bob Minimus|-14.34,12
Melsonby Little Place Minimus|-14.34,14
East Layton Little Place Minimus|34.14.34,12
Reverse Grandsire Place Minimus|-,14-14.12
Grandsire Place Minimus|34,14-14-
Lonk Bob Minimus|-14-14.12.14-12
Soay Bob Minimus|-14.12.14-14-12
Charollais Place Minimus|34.14-14.12.14.34.12
Lleyn Place Minimus|34.14.12.14-14.34.12
First Bob Doubles|3.1.125.1.125,1
Ancaster Bob Doubles|3.1.125.1.345,1
Quirister Bob Doubles|3.1.125.1.5,123
Camelion Bob Doubles|3.1.125.1.5,125
Dirt Monkey Bob Doubles|3.1.125.1.5,145
Blaisdon Bob Doubles|3.1.125.123.5,125
St Alphage Bob Doubles|3.1.125.3.145,1
St Vedast Bob Doubles|3.1.125.3.5,125
Uffington Bob Doubles|3.1.5.1.125,1
Reverse St Simon's Bob Doubles|3.1.5.1.145,1
Union Bob Doubles|3.1.5.1.345,1
St Augustine Bob Doubles|3.1.5.1.5,123
Chase Bob Doubles|3.1.5.1.5,145
Reverse St Nicholas Bob Doubles|3.1.5.123.145,1
Huntspill Bob Doubles|3.1.5.123.5,125
Reverse New Bob Doubles|3.1.5.3.145,1
New Bob Doubles|3.1.5.3.5,125
Helpringham Bob Doubles|3.145.125.1.345,1
Morning Star Bob Doubles|3.145.125.1.5,123
Slum Place Doubles|3.145.125.1.5,145
Dragon Place Doubles|3.145.125.123.5,125
St Gregory Bob Doubles|3.145.125.3.145,1
St Hilary Bob Doubles|3.145.125.3.5,125
Datchet Bob Doubles|3.145.5.1.125,1
Reverse St Osmund Bob Doubles|3.145.5.1.145,1
St Julian Bob Doubles|3.145.5.1.345,1
St James Bob Doubles|3.145.5.1.5,123
Shipway Place Doubles|3.145.5.1.5,125
St Piran Place Doubles|3.145.5.1.5,145
Reverse St Remigius Bob Doubles|3.145.5.123.145,1
Blackburn Place Doubles|3.145.5.123.5,125
Reverse St Vedast Bob Doubles|3.145.5.3.145,1
Westminster II Bob Doubles|3.145.5.3.5,125
Newton Place Doubles|345.1.125.1.345,1
Evening Star Place Doubles|345.1.125.1.5,123
Bradford-on-Tone Place Doubles|345.1.125.1.5,145
Huntley Place Doubles|345.1.125.123.5,125
St Andrew Place Doubles|345.1.125.3.145,1
St Remigius Bob Doubles|345.1.125.3.5,125
Stowe Place Doubles|345.1.5.1.125,1
Reverse St Martin's Bob Doubles|345.1.5.1.145,1
St Faith Place Doubles|345.1.5.1.345,1
All Saints Place Doubles|345.1.5.1.5,123
Reverse Canterbury Pleasure Place Doubles|345.1.5.1.5,125
Brigstock Place Doubles|345.1.5.1.5,145
Reverse Winchendon Place Doubles|345.1.5.123.145,1
Winchendon Place Doubles|345.1.5.123.5,125
Reverse Huntspill Bob Doubles|345.1.5.3.145,1
St Nicholas Bob Doubles|345.1.5.3.5,125
Braceborough Place Doubles|345.145.125.1.345,1
Cathedral Place Doubles|345.145.125.1.5,123
Lavender Place Doubles|345.145.125.1.5,125
Chilli Chips and Cheese Place Doubles|345.145.125.1.5,145
Worcestershire Place Doubles|345.145.125.123.5,125
Honington Place Doubles|345.145.125.3.145,1
Warwickshire Bob Doubles|345.145.125.3.5,125
Tallington Place Doubles|345.145.5.1.125,1
Chapel-en-le-Frith Bob Doubles|345.145.5.1.145,1
Rouen Place Doubles|345.145.5.1.345,1
Minster Place Doubles|345.145.5.1.5,123
Essex Place Doubles|345.145.5.1.5,145
Sempringham Place Doubles|345.145.5.123.145,1
Suffolk Place Doubles|345.145.5.123.5,125
Thurlby Bob Doubles|345.145.5.3.145,1
Shropshire Bob Doubles|345.145.5.3.5,125
George's Maggot Reverse Place Doubles|5.1.125.1.125,1
Wellington Place Doubles|5.1.125.1.345,1
Cippenham Place Doubles|5.1.125.1.5,123
Oake Place Doubles|5.1.125.1.5,145
Cockatrice Place Doubles|5.1.125.123.125,1
Abbey Place Doubles|5.1.125.123.345,1
St Ouen Place Doubles|5.1.125.123.5,123
Eynesbury Bob Doubles|5.1.125.123.5,125
Armston Place Doubles|5.1.125.123.5,145
St Botolph Place Doubles|5.1.125.3.125,1
Reverse Shipway Place Doubles|5.1.125.3.145,1
St Sebastian Bob Doubles|5.1.125.3.345,1
Fifield Bob Doubles|5.1.125.3.5,123
St Osmund Bob Doubles|5.1.125.3.5,125
Wigsthorpe Bob Doubles|5.1.125.3.5,145
Reverse Bob Doubles|5.1.5.1.145,1
Plain Bob Doubles|5.1.5.1.5,125
Coxwell Place Doubles|5.1.5.123.125,1
Canterbury Place Doubles|5.1.5.123.145,1
All Hallows Place Doubles|5.1.5.123.345,1
Bampton Place Doubles|5.1.5.123.5,123
St Martin's Bob Doubles|5.1.5.123.5,125
Thurning Place Doubles|5.1.5.123.5,145
Stedman Bob Doubles|5.1.5.3.125,1
St Bartholomew's Bob Doubles|5.1.5.3.345,1
Twineham Bob Doubles|5.1.5.3.5,123
St Simon's Bob Doubles|5.1.5.3.5,125
Eaglethorpe Bob Doubles|5.1.5.3.5,145
Primrose Bob Doubles|5.145.125.1.5,125
Gedney Hill Place Doubles|5.145.125.123.345,1
Montgomeryshire Place Doubles|5.145.125.123.5,123
Nottinghamshire Bob Doubles|5.145.125.123.5,125
Harecastle Place Doubles|5.145.125.123.5,145
Middlesex Place Doubles|5.145.125.3.125,1
Swinderby Bob Doubles|5.145.125.3.345,1
Callender Bob Doubles|5.145.125.3.5,123
Herefordshire Bob Doubles|5.145.125.3.5,125
Dudley Bob Doubles|5.145.125.3.5,145
Dunston Place Doubles|5.145.5.1.125,1
Hordle Place Doubles|5.145.5.1.345,1
Wainfleet Place Doubles|5.145.5.1.5,123
Devon Place Doubles|5.145.5.1.5,145
Anglesey Place Doubles|5.145.5.123.125,1
North Rauceby Place Doubles|5.145.5.123.345,1
Chevasse Place Doubles|5.145.5.123.5,123
Lancashire Bob Doubles|5.145.5.123.5,125
Netherton Place Doubles|5.145.5.123.5,145
Carmarthen Bob Doubles|5.145.5.3.125,1
Barrowby Bob Doubles|5.145.5.3.145,1
Irnham Bob Doubles|5.145.5.3.345,1
Maltby Bob Doubles|5.145.5.3.5,123
Hertfordshire Bob Doubles|5.145.5.3.5,125
Armitage New Bob Doubles|5.145.5.3.5,145
Bistow Little Bob Doubles|5.125,1
Stanwell Little Bob Doubles|3.1.3,125
Clewer Little Place Doubles|3.145.3,125
Hampton Little Bob Doubles|345.1.3,125
Littleton Little Bob Doubles|5.1.123,1
Ashford Little Bob Doubles|5.1.3,125
Laleham Little Place Doubles|5.1.345,1
Lathbury Little Place Doubles|5.145.123,1
Little Little Little Little Little Little Little Penultimus Little Place Doubles|5.1.5.145,1
Breaston Bob Doubles|3,1.5.1.125.3
Grandsire Doubles|3,1.5.1.5.1
Double Grandsire Doubles|3,1.5.1.5.3
Double Antelope Place Doubles|3,145.5.1.125.3
Antelope Place Doubles|3,145.5.1.5.1
Spondon Bob Doubles|3,145.5.1.5.3
Reverse Antelope Place Doubles|5,1.5.1.125.3
Reverse Grandsire Doubles|5,1.5.1.5.3
Castlewood Bob Doubles|3.1.125.1.345,123
Ditton Bob Doubles|3.1.125.1.345,125
Shelford Slow Course Doubles|3.1.125.123.125,125
Screveton Bob Doubles|3.1.125.123.345,125
Chipstead Slow Course Doubles|3.1.125.3.125,125
Kiln Green Bob Doubles|3.1.125.3.145,123
